Unnamed: 0,ac_code_icao,e_type,wake,reduced_fuel_a1,reduced_fuel_a2,reduced_fuel_intercept,reduced_fuel_score,reduced_sample_size
106,J328,Jet,M,0.0002338523634559,0.9637716785777416,519.1105608572915,0.9984259887272872,25
107,JS31,Turboprop,M,-1.3220003405312042e-06,0.5713326852277414,66.96258057491974,0.9999407560509672,25
108,JS32,Turboprop,M,-3.3202229312800924e-05,0.6341877292061346,59.2533679466319,0.9998948910231162,25
109,JS41,Turboprop,M,-1.2082975956007049e-05,0.769800713351197,104.27394833382344,0.9999377790504468,25
110,L410,Turboprop,L,4.5917007307494373e-07,0.8687432438994225,57.7775495453979,0.999678641908054,25
111,MD81,Jet,M,0.0001858628498956,3.3496268406160934,1377.4108977098076,0.9996234662721868,25
112,MD82,Jet,M,0.0001642883930386,3.3107279063446025,1363.4140348026076,0.9999410794624288,25
113,MD83,Jet,M,0.0001459972320678,3.4171974425632308,1333.2290201545793,0.9999207470142704,25
114,MD87,Jet,M,0.0001229420769854,3.1550321556345344,1323.906130239403,0.9999235038070372,25
115,MD88,Jet,M,0.0001469270242324,3.344943603063653,1348.501342350547,0.9999324514616256,25
116,MD90,Jet,M,0.0001511166380416,3.427298079612508,1334.1836888132611,0.9999083896246131,25
121,RJ1H,Jet,M,0.0002294929775152,2.5829642807420203,1190.9403071438264,0.9997243582259844,25
122,RJ85,Jet,M,0.0001193878936063,2.512925009824641,1111.1277650256816,0.9997924947055792,25
123,SB20,Turboprop,M,6.951271057831221e-05,1.230813290288315,240.9698013823472,0.9998996339051616,25
124,SF34,Turboprop,M,3.761065756624493e-05,0.8668857367792905,105.6885620679833,0.999964621406023,25
125,SU95,Jet,M,-1.590219730163156e-05,2.6098410185373004,758.7285792270977,0.9996708133903568,25
126,SW4,Turboprop,M,3.887258047974296e-05,0.5434736952797017,79.65634302404072,0.9999760746431876,25
127,T134,Jet,M,0.0001588596945443,2.2965986311400504,1903.6897216554444,0.999932260485096,25
128,T154,Jet,M,-3.740893149739577e-05,6.33528504824825,1809.6151187583416,0.9993952074623274,25
129,T204,Jet,M,0.0001518677745644,3.766156885359951,1780.3599248722055,0.9999340491488148,25
131,YK40,Jet,M,-0.0001548367132402,2.4829198850833447,506.99668437757646,0.9998850227277502,25
132,YK42,Jet,M,-3.869155508162692e-05,4.270710201048868,1162.5017666089334,0.999929524268017,25
